"HostName","Location"
"FBDRCESX51","HUAWEI-001-SOL5"
"FBDRCESX50","HUAWEI-001-SOL5"
"FBDRCESX42","HUAWEI-001-SOL5"
"FBDRCESX34","HUAWEI-001-SOL5"
"FBDRCESX31","HUAWEI-001-SOL5"
"FBDRCESX43","HUAWEI-001-SOL5"
"FBDRCESX28","HUAWEI-001-SOL5"
"FBDRCESX38","HUAWEI-001-SOL5"
"FBDRCESX30","HUAWEI-001-SOL5"
"FBDRCESX58","HUAWEI-001-SOL5"
"FBDRCESX59","HUAWEI-001-SOL5"
"FBDRCESX33","HUAWEI-001-SOL5"
"FBDRCESX44","HUAWEI-001-SOL5"
"FBDRCESX39","HUAWEI-001-SOL5"
"FBDRCESX45","HUAWEI-001-SOL5"
"FBDRCESX32","HUAWEI-001-SOL5"
"FBDRCESX46","HUAWEI-001-SOL5"
"FBDRCESX29","HUAWEI-001-SOL5"
"FBDRCESX26","HUAWEI-001-SOL5"
"FBDRCESX60","HUAWEI-001-SOL5"
"FBDRCESX53","HUAWEI-001-SOL5"
"FBDRCESX49","HUAWEI-001-SOL5"
"FBDRCESX40","HUAWEI-001-SOL5"
"FBDRCESX23","HUAWEI-001-SOL5"
"FBDRCESX35","HUAWEI-001-SOL5"
"FBDRCESX27","HUAWEI-001-SOL5"
"FBDRCESX61","HUAWEI-001-SOL5"
"FBDRCESX47","HUAWEI-001-SOL5"
"FBDRCESX41","HUAWEI-001-SOL5"
